generation,currentPopulationBestCost,currentPopulationBestVehicleCount,currentPopulationAverageCost,BSFcost,BSFvehicleCount
447,3577.0,5,3687.54,3569.0,5
448,3577.0,5,3687.2,3569.0,5
449,3577.0,5,3685.98,3569.0,5
450,3577.0,5,3684.27,3569.0,5
451,3577.0,5,3681.65,3569.0,5
452,3577.0,5,3681.25,3569.0,5
453,3577.0,5,3679.81,3569.0,5
454,3577.0,5,3679.56,3569.0,5
455,3577.0,5,3677.01,3569.0,5
456,3577.0,5,3676.44,3569.0,5
457,3577.0,5,3676.02,3569.0,5
458,3577.0,5,3675.7,3569.0,5
459,3577.0,5,3674.42,3569.0,5
460,3577.0,5,3674.04,3569.0,5
461,3577.0,5,3672.57,3569.0,5
462,3577.0,5,3671.96,3569.0,5
463,3577.0,5,3671.07,3569.0,5
464,3577.0,5,3670.62,3569.0,5
465,3577.0,5,3670.23,3569.0,5
466,3577.0,5,3669.33,3569.0,5
467,3577.0,5,3668.28,3569.0,5
468,3577.0,5,3667.04,3569.0,5
469,3577.0,5,3666.57,3569.0,5
470,3577.0,5,3666.04,3569.0,5
471,3577.0,5,3664.88,3569.0,5
472,3577.0,5,3664.88,3569.0,5
473,3577.0,5,3664.84,3569.0,5
474,3577.0,5,3664.84,3569.0,5
475,3577.0,5,3664.84,3569.0,5
476,3577.0,5,3662.78,3569.0,5
477,3577.0,5,3661.87,3569.0,5
478,3577.0,5,3661.86,3569.0,5
479,3577.0,5,3661.86,3569.0,5
480,3577.0,5,3661.59,3569.0,5
481,3577.0,5,3661.59,3569.0,5
482,3577.0,5,3661.21,3569.0,5
483,3577.0,5,3661.1,3569.0,5
484,3577.0,5,3660.04,3569.0,5
485,3577.0,5,3660.04,3569.0,5
486,3577.0,5,3660.04,3569.0,5
487,3577.0,5,3659.94,3569.0,5
488,3561.0,5,3659.08,3561.0,5
489,3561.0,5,3658.11,3561.0,5
490,3561.0,5,3657.32,3561.0,5
491,3561.0,5,3657.07,3561.0,5
492,3561.0,5,3656.37,3561.0,5
493,3561.0,5,3655.42,3561.0,5
494,3561.0,5,3655.42,3561.0,5
495,3561.0,5,3654.42,3561.0,5
496,3561.0,5,3654.29,3561.0,5
497,3561.0,5,3654.18,3561.0,5
498,3561.0,5,3654.18,3561.0,5
499,3561.0,5,3653.18,3561.0,5
500,3561.0,5,3652.39,3561.0,5
501,3961.0,5,4465.57,3561.0,5
502,3697.0,5,4333.77,3561.0,5
503,3697.0,5,4271.83,3561.0,5
504,3697.0,5,4318.31,3561.0,5
505,3688.0,5,4132.04,3561.0,5
506,3688.0,5,4046.02,3561.0,5
507,3688.0,5,3988.68,3561.0,5
508,3669.0,5,3929.01,3561.0,5
509,3662.0,5,3878.56,3561.0,5
510,3662.0,5,3853.08,3561.0,5
511,3662.0,5,3835.99,3561.0,5
512,3602.0,5,3817.62,3561.0,5
513,3602.0,5,3798.66,3561.0,5
514,3602.0,5,3785.47,3561.0,5
515,3602.0,5,3773.8,3561.0,5
516,3602.0,5,3764.3,3561.0,5
517,3602.0,5,3755.98,3561.0,5
518,3602.0,5,3745.03,3561.0,5
519,3602.0,5,3732.35,3561.0,5
520,3602.0,5,3719.41,3561.0,5
521,3593.0,5,3705.6,3561.0,5
522,3577.0,5,3696.73,3561.0,5
523,3577.0,5,3684.08,3561.0,5
524,3577.0,5,3680.21,3561.0,5
525,3577.0,5,3676.1,3561.0,5
526,3577.0,5,3672.9,3561.0,5
527,3577.0,5,3665.58,3561.0,5
528,3577.0,5,3663.58,3561.0,5
529,3577.0,5,3660.25,3561.0,5
530,3577.0,5,3657.42,3561.0,5
531,3577.0,5,3656.4,3561.0,5
532,3577.0,5,3654.18,3561.0,5
533,3577.0,5,3650.4,3561.0,5
534,3577.0,5,3645.46,3561.0,5
535,3577.0,5,3642.7,3561.0,5
536,3577.0,5,3639.41,3561.0,5
537,3577.0,5,3635.0,3561.0,5
538,3577.0,5,3634.83,3561.0,5
539,3577.0,5,3631.84,3561.0,5
540,3577.0,5,3629.48,3561.0,5
541,3577.0,5,3628.92,3561.0,5
542,3577.0,5,3625.87,3561.0,5
543,3577.0,5,3623.26,3561.0,5
544,3569.0,5,3621.72,3561.0,5
545,3569.0,5,3619.79,3561.0,5
546,3569.0,5,3617.82,3561.0,5
547,3569.0,5,3617.38,3561.0,5
548,3569.0,5,3616.86,3561.0,5
549,3569.0,5,3615.47,3561.0,5
550,3569.0,5,3615.3,3561.0,5
551,3569.0,5,3614.45,3561.0,5
552,3569.0,5,3611.8,3561.0,5
553,3569.0,5,3610.67,3561.0,5
554,3569.0,5,3609.34,3561.0,5
555,3569.0,5,3609.02,3561.0,5
